Date and Time,Date,Time,Activity,Duration
2018-04-12 22:15:00,2018-04-12,22:15:00,Sleep,71.0
2018-04-12 23:40:00,2018-04-12,23:40:00,Sleep,140.0
2018-04-13 02:11:00,2018-04-13,02:11:00,Sleep,76.0
2018-04-13 03:45:00,2018-04-13,03:45:00,Sleep,112.0
2018-04-13 08:15:00,2018-04-13,08:15:00,Sleep,45.0
2018-04-13 11:07:00,2018-04-13,11:07:00,Sleep,62.0
2018-04-13 14:05:00,2018-04-13,14:05:00,Sleep,35.0
2018-04-13 19:31:00,2018-04-13,19:31:00,Sleep,60.0
2018-04-13 20:54:00,2018-04-13,20:54:00,Sleep,263.0
2018-04-14 01:33:00,2018-04-14,01:33:00,Sleep,190.0
2018-04-14 05:25:00,2018-04-14,05:25:00,Sleep,95.0
2018-04-14 10:01:00,2018-04-14,10:01:00,Sleep,82.0
2018-04-14 14:17:00,2018-04-14,14:17:00,Sleep,49.0
2018-04-14 18:24:00,2018-04-14,18:24:00,Sleep,136.0
2018-04-14 20:48:00,2018-04-14,20:48:00,Sleep,13.0
2018-04-14 21:12:00,2018-04-14,21:12:00,Sleep,95.0
2018-04-14 23:12:00,2018-04-14,23:12:00,Sleep,148.0
2018-04-15 01:54:00,2018-04-15,01:54:00,Sleep,80.0
2018-04-15 03:47:00,2018-04-15,03:47:00,Sleep,157.0
2018-04-15 09:28:00,2018-04-15,09:28:00,Sleep,30.0
2018-04-15 16:54:00,2018-04-15,16:54:00,Sleep,30.0
2018-04-15 19:25:00,2018-04-15,19:25:00,Sleep,307.0
2018-04-16 00:45:00,2018-04-16,00:45:00,Sleep,122.0
2018-04-16 03:01:00,2018-04-16,03:01:00,Sleep,70.0
2018-04-16 04:23:00,2018-04-16,04:23:00,Sleep,40.0
2018-04-16 05:13:00,2018-04-16,05:13:00,Sleep,67.0
2018-04-16 12:03:00,2018-04-16,12:03:00,Sleep,31.0
2018-04-16 15:22:00,2018-04-16,15:22:00,Sleep,82.0
2018-04-16 19:33:00,2018-04-16,19:33:00,Sleep,187.0
2018-04-16 22:49:00,2018-04-16,22:49:00,Sleep,70.0
2018-04-17 00:12:00,2018-04-17,00:12:00,Sleep,70.0
2018-04-17 01:35:00,2018-04-17,01:35:00,Sleep,102.0
2018-04-17 03:35:00,2018-04-17,03:35:00,Sleep,18.0
2018-04-17 04:03:00,2018-04-17,04:03:00,Sleep,106.0
2018-04-17 07:59:00,2018-04-17,07:59:00,Sleep,99.0
2018-04-17 13:45:00,2018-04-17,13:45:00,Sleep,34.0
2018-04-17 18:33:00,2018-04-17,18:33:00,Sleep,197.0
2018-04-17 22:01:00,2018-04-17,22:01:00,Sleep,201.0
2018-04-18 01:41:00,2018-04-18,01:41:00,Sleep,118.0
2018-04-18 03:51:00,2018-04-18,03:51:00,Sleep,66.0
2018-04-18 08:05:00,2018-04-18,08:05:00,Sleep,53.0
2018-04-18 11:38:00,2018-04-18,11:38:00,Sleep,72.0
2018-04-18 15:31:00,2018-04-18,15:31:00,Sleep,25.0
2018-04-18 18:21:00,2018-04-18,18:21:00,Sleep,131.0
2018-04-18 21:10:00,2018-04-18,21:10:00,Sleep,113.0
2018-04-18 23:20:00,2018-04-18,23:20:00,Sleep,175.0
2018-04-19 02:38:00,2018-04-19,02:38:00,Sleep,76.0
2018-04-19 04:52:00,2018-04-19,04:52:00,Sleep,123.0
2018-04-19 18:54:00,2018-04-19,18:54:00,Sleep,218.0
2018-04-19 22:40:00,2018-04-19,22:40:00,Sleep,202.0
2018-04-20 02:16:00,2018-04-20,02:16:00,Sleep,157.0
2018-04-20 05:05:00,2018-04-20,05:05:00,Sleep,95.0
2018-04-20 09:40:00,2018-04-20,09:40:00,Sleep,31.0
2018-04-20 12:11:00,2018-04-20,12:11:00,Sleep,39.0
2018-04-20 15:45:00,2018-04-20,15:45:00,Sleep,31.0
2018-04-20 19:05:00,2018-04-20,19:05:00,Sleep,118.0
2018-04-20 21:10:00,2018-04-20,21:10:00,Sleep,76.0
2018-04-21 03:48:00,2018-04-21,03:48:00,Sleep,129.0
2018-04-21 10:28:00,2018-04-21,10:28:00,Sleep,29.0
2018-04-21 19:11:00,2018-04-21,19:11:00,Sleep,118.0
2018-04-21 21:22:00,2018-04-21,21:22:00,Sleep,137.0
