Date and Time,Date,Time,Activity,Duration,Radial,Minutes
2015-05-21 16:59:00,2015-05-20,16:59:00,Sleep,40.0,125,1019
2015-05-21 19:10:00,2015-05-20,19:10:00,Sleep,230.0,125,1150
2015-05-21 23:28:00,2015-05-20,23:28:00,Sleep,196.0,125,1408
2015-05-22 04:11:00,2015-05-21,04:11:00,Sleep,259.0,126,251
2015-05-22 09:57:00,2015-05-21,09:57:00,Sleep,32.0,126,597
2015-05-22 13:12:00,2015-05-21,13:12:00,Sleep,33.0,126,792
2015-05-22 15:20:00,2015-05-21,15:20:00,Sleep,9.0,126,920
2015-05-22 17:07:00,2015-05-21,17:07:00,Sleep,23.0,126,1027
2015-05-22 19:20:00,2015-05-21,19:20:00,Sleep,161.0,126,1160
2015-05-22 22:18:00,2015-05-21,22:18:00,Sleep,229.0,126,1338
2015-05-23 02:43:00,2015-05-22,02:43:00,Sleep,321.0,127,163
2015-05-23 10:13:00,2015-05-22,10:13:00,Sleep,41.0,127,613
2015-05-23 13:15:00,2015-05-22,13:15:00,Sleep,30.0,127,795
2015-05-23 16:02:00,2015-05-22,16:02:00,Sleep,11.0,127,962
2015-05-23 18:23:00,2015-05-22,18:23:00,Sleep,165.0,127,1103
2015-05-23 21:44:00,2015-05-22,21:44:00,Sleep,350.0,127,1304
2015-05-24 03:55:00,2015-05-23,03:55:00,Sleep,100.0,128,235
2015-05-24 05:47:00,2015-05-23,05:47:00,Sleep,99.0,128,347
2015-05-24 09:37:00,2015-05-23,09:37:00,Sleep,26.0,128,577
2015-05-24 12:02:00,2015-05-23,12:02:00,Sleep,31.0,128,722
2015-05-24 14:53:00,2015-05-23,14:53:00,Sleep,22.0,128,893
2015-05-24 16:37:00,2015-05-23,16:37:00,Sleep,42.0,128,997
2015-05-24 18:50:00,2015-05-23,18:50:00,Sleep,180.0,128,1130
2015-05-24 22:27:00,2015-05-23,22:27:00,Sleep,540.0,128,1347
2015-05-25 09:58:00,2015-05-24,09:58:00,Sleep,33.0,129,598
2015-05-25 13:16:00,2015-05-24,13:16:00,Sleep,32.0,129,796
2015-05-25 15:25:00,2015-05-24,15:25:00,Sleep,40.0,129,925
2015-05-25 18:55:00,2015-05-24,18:55:00,Sleep,252.0,129,1135
2015-05-25 23:42:00,2015-05-24,23:42:00,Sleep,302.0,129,1422
