,Date,Time,Finish,Duration
2018-11-01 19:26:00,2018-11-01,19:26:00,2018-11-01 23:00:00,214.0
2018-11-02 00:00:00,2018-11-02,00:00:00,2018-11-02 03:00:00,180.0
2018-11-02 04:00:00,2018-11-02,04:00:00,2018-11-02 06:30:00,150.0
2018-11-02 12:10:00,2018-11-02,12:10:00,2018-11-02 13:29:00,79.0
2018-11-02 19:30:00,2018-11-02,19:30:00,2018-11-03 01:03:00,333.0
2018-11-03 01:17:00,2018-11-03,01:17:00,2018-11-03 05:52:00,275.0
2018-11-03 06:12:00,2018-11-03,06:12:00,2018-11-03 07:35:00,83.0
2018-11-03 11:35:00,2018-11-03,11:35:00,2018-11-03 12:10:00,35.0
2018-11-03 15:58:00,2018-11-03,15:58:00,2018-11-03 16:28:00,30.0
2018-11-03 19:30:00,2018-11-03,19:30:00,2018-11-04 02:14:00,404.0
2018-11-04 02:34:00,2018-11-04,02:34:00,2018-11-04 07:14:00,280.0
2018-11-04 13:27:00,2018-11-04,13:27:00,2018-11-04 13:58:00,31.0
2018-11-04 19:34:00,2018-11-04,19:34:00,2018-11-04 23:54:00,260.0
2018-11-05 00:12:00,2018-11-05,00:12:00,2018-11-05 04:35:00,263.0
2018-11-05 05:11:00,2018-11-05,05:11:00,2018-11-05 05:58:00,47.0
2018-11-05 09:53:00,2018-11-05,09:53:00,2018-11-05 10:33:00,40.0
2018-11-05 18:13:00,2018-11-05,18:13:00,2018-11-05 22:10:00,237.0
2018-11-05 22:45:00,2018-11-05,22:45:00,2018-11-06 01:29:00,164.0
2018-11-06 02:03:00,2018-11-06,02:03:00,2018-11-06 04:23:00,140.0
2018-11-06 04:42:00,2018-11-06,04:42:00,2018-11-06 06:43:00,121.0
2018-11-06 10:40:00,2018-11-06,10:40:00,2018-11-06 11:35:00,55.0
2018-11-06 15:40:00,2018-11-06,15:40:00,2018-11-06 16:14:00,34.0
2018-11-06 19:10:00,2018-11-06,19:10:00,2018-11-06 23:46:00,276.0
2018-11-07 00:00:00,2018-11-07,00:00:00,2018-11-07 03:22:00,202.0
2018-11-07 03:37:00,2018-11-07,03:37:00,2018-11-07 06:25:00,168.0
2018-11-07 14:30:00,2018-11-07,14:30:00,2018-11-07 15:15:00,45.0
2018-11-07 18:57:00,2018-11-07,18:57:00,2018-11-07 21:28:00,151.0
2018-11-07 21:42:00,2018-11-07,21:42:00,2018-11-08 00:18:00,156.0
2018-11-08 00:47:00,2018-11-08,00:47:00,2018-11-08 02:52:00,125.0
2018-11-08 03:10:00,2018-11-08,03:10:00,2018-11-08 05:35:00,145.0
2018-11-08 10:50:00,2018-11-08,10:50:00,2018-11-08 11:30:00,40.0
2018-11-08 15:55:00,2018-11-08,15:55:00,2018-11-08 17:00:00,65.0
2018-11-08 20:37:00,2018-11-08,20:37:00,2018-11-09 06:15:00,578.0
2018-11-09 09:30:00,2018-11-09,09:30:00,2018-11-09 10:30:00,60.0
2018-11-09 15:04:00,2018-11-09,15:04:00,2018-11-09 16:04:00,60.0
2018-11-09 19:30:00,2018-11-09,19:30:00,2018-11-09 20:07:00,37.0
2018-11-09 22:52:00,2018-11-09,22:52:00,2018-11-10 01:37:00,165.0
2018-11-10 01:49:00,2018-11-10,01:49:00,2018-11-10 02:53:00,64.0
2018-11-10 03:14:00,2018-11-10,03:14:00,2018-11-10 06:21:00,187.0
2018-11-10 11:05:00,2018-11-10,11:05:00,2018-11-10 12:12:00,67.0
2018-11-10 19:58:00,2018-11-10,19:58:00,2018-11-10 22:48:00,170.0
2018-11-10 23:13:00,2018-11-10,23:13:00,2018-11-11 00:27:00,74.0
2018-11-11 00:48:00,2018-11-11,00:48:00,2018-11-11 03:26:00,158.0
2018-11-11 03:41:00,2018-11-11,03:41:00,2018-11-11 05:28:00,107.0
2018-11-11 08:51:00,2018-11-11,08:51:00,2018-11-11 10:34:00,103.0
2018-11-11 15:24:00,2018-11-11,15:24:00,2018-11-11 16:02:00,38.0
2018-11-11 19:52:00,2018-11-11,19:52:00,2018-11-12 01:43:00,351.0
2018-11-12 01:56:00,2018-11-12,01:56:00,2018-11-12 05:47:00,231.0
2018-11-12 12:23:00,2018-11-12,12:23:00,2018-11-12 15:16:00,173.0
2018-11-12 18:59:00,2018-11-12,18:59:00,2018-11-12 23:44:00,285.0
2018-11-13 00:16:00,2018-11-13,00:16:00,2018-11-13 06:00:00,344.0
2018-11-13 09:50:00,2018-11-13,09:50:00,2018-11-13 10:30:00,40.0
2018-11-13 13:00:00,2018-11-13,13:00:00,2018-11-13 14:20:00,80.0
2018-11-13 16:15:00,2018-11-13,16:15:00,2018-11-13 16:45:00,30.0
2018-11-13 19:23:00,2018-11-13,19:23:00,2018-11-13 21:32:00,129.0
2018-11-13 22:03:00,2018-11-13,22:03:00,2018-11-13 23:16:00,73.0
2018-11-13 23:27:00,2018-11-13,23:27:00,2018-11-13 23:56:00,29.0
2018-11-14 00:25:00,2018-11-14,00:25:00,2018-11-14 06:01:00,336.0
2018-11-14 10:37:00,2018-11-14,10:37:00,2018-11-14 11:14:00,37.0
2018-11-14 20:13:00,2018-11-14,20:13:00,2018-11-14 22:15:00,122.0
2018-11-15 03:15:00,2018-11-15,03:15:00,2018-11-15 06:24:00,189.0
2018-11-15 11:10:00,2018-11-15,11:10:00,2018-11-15 12:38:00,88.0
2018-11-15 16:30:00,2018-11-15,16:30:00,2018-11-15 17:00:00,30.0
2018-11-15 20:32:00,2018-11-15,20:32:00,2018-11-15 22:24:00,112.0
2018-11-15 22:35:00,2018-11-15,22:35:00,2018-11-16 00:56:00,141.0
2018-11-16 01:42:00,2018-11-16,01:42:00,2018-11-16 07:00:00,318.0
2018-11-16 10:38:00,2018-11-16,10:38:00,2018-11-16 12:48:00,130.0
2018-11-16 17:43:00,2018-11-16,17:43:00,2018-11-16 20:15:00,152.0
2018-11-16 20:26:00,2018-11-16,20:26:00,2018-11-16 23:45:00,199.0
2018-11-17 02:35:00,2018-11-17,02:35:00,2018-11-17 05:46:00,191.0
2018-11-17 13:35:00,2018-11-17,13:35:00,2018-11-17 14:10:00,35.0
2018-11-17 19:40:00,2018-11-17,19:40:00,2018-11-17 20:58:00,78.0
2018-11-17 21:12:00,2018-11-17,21:12:00,2018-11-18 00:13:00,181.0
2018-11-18 00:34:00,2018-11-18,00:34:00,2018-11-18 02:18:00,104.0
2018-11-18 02:37:00,2018-11-18,02:37:00,2018-11-18 04:51:00,134.0
2018-11-18 05:09:00,2018-11-18,05:09:00,2018-11-18 06:36:00,87.0
2018-11-18 11:44:00,2018-11-18,11:44:00,2018-11-18 14:04:00,140.0
