,Date,Time,Finish,Duration
2016-01-28 19:28:00,2016-01-28,19:28:00,2016-01-29 00:06:00,278.0
2016-01-29 00:29:00,2016-01-29,00:29:00,2016-01-29 02:37:00,128.0
2016-01-29 03:04:00,2016-01-29,03:04:00,2016-01-29 05:26:00,142.0
2016-01-29 10:52:00,2016-01-29,10:52:00,2016-01-29 11:27:00,35.0
2016-01-29 15:27:00,2016-01-29,15:27:00,2016-01-29 15:40:00,13.0
2016-01-29 18:10:00,2016-01-29,18:10:00,2016-01-30 02:00:00,470.0
2016-01-30 03:30:00,2016-01-30,03:30:00,2016-01-30 05:26:00,116.0
2016-01-30 05:30:00,2016-01-30,05:30:00,2016-01-30 06:30:00,60.0
2016-01-30 10:10:00,2016-01-30,10:10:00,2016-01-30 12:36:00,146.0
2016-01-30 19:28:00,2016-01-30,19:28:00,2016-01-31 01:12:00,344.0
2016-01-31 01:55:00,2016-01-31,01:55:00,2016-01-31 03:55:00,120.0
2016-01-31 04:50:00,2016-01-31,04:50:00,2016-01-31 06:50:00,120.0
2016-01-31 11:02:00,2016-01-31,11:02:00,2016-01-31 11:49:00,47.0
2016-01-31 16:10:00,2016-01-31,16:10:00,2016-01-31 16:37:00,27.0
2016-01-31 18:42:00,2016-01-31,18:42:00,2016-01-31 21:35:00,173.0
2016-01-31 22:00:00,2016-01-31,22:00:00,2016-02-01 00:00:00,120.0
2016-02-01 00:56:00,2016-02-01,00:56:00,2016-02-01 01:15:00,19.0
2016-02-01 01:50:00,2016-02-01,01:50:00,2016-02-01 04:47:00,177.0
2016-02-01 08:18:00,2016-02-01,08:18:00,2016-02-01 10:35:00,137.0
2016-02-01 14:37:00,2016-02-01,14:37:00,2016-02-01 15:57:00,80.0
2016-02-01 19:18:00,2016-02-01,19:18:00,2016-02-02 00:46:00,328.0
2016-02-02 01:41:00,2016-02-02,01:41:00,2016-02-02 03:05:00,84.0
2016-02-02 03:30:00,2016-02-02,03:30:00,2016-02-02 05:36:00,126.0
2016-02-02 10:00:00,2016-02-02,10:00:00,2016-02-02 11:00:00,60.0
2016-02-02 14:30:00,2016-02-02,14:30:00,2016-02-02 14:59:00,29.0
2016-02-02 16:00:00,2016-02-02,16:00:00,2016-02-02 16:15:00,15.0
2016-02-02 19:17:00,2016-02-02,19:17:00,2016-02-03 02:15:00,418.0
2016-02-03 03:06:00,2016-02-03,03:06:00,2016-02-03 05:44:00,158.0
2016-02-03 05:55:00,2016-02-03,05:55:00,2016-02-03 06:15:00,20.0
2016-02-03 11:13:00,2016-02-03,11:13:00,2016-02-03 14:02:00,169.0
2016-02-03 18:40:00,2016-02-03,18:40:00,2016-02-03 19:03:00,23.0
2016-02-03 19:21:00,2016-02-03,19:21:00,2016-02-03 23:59:00,278.0
2016-02-04 00:22:00,2016-02-04,00:22:00,2016-02-04 03:40:00,198.0
2016-02-04 04:05:00,2016-02-04,04:05:00,2016-02-04 06:00:00,115.0
2016-02-04 10:06:00,2016-02-04,10:06:00,2016-02-04 12:36:00,150.0
2016-02-04 17:28:00,2016-02-04,17:28:00,2016-02-04 18:00:00,32.0
2016-02-04 19:00:00,2016-02-04,19:00:00,2016-02-05 03:20:00,500.0
2016-02-05 04:20:00,2016-02-05,04:20:00,2016-02-05 08:35:00,255.0
2016-02-05 13:05:00,2016-02-05,13:05:00,2016-02-05 14:04:00,59.0
2016-02-05 18:00:00,2016-02-05,18:00:00,2016-02-05 18:18:00,18.0
2016-02-05 18:21:00,2016-02-05,18:21:00,2016-02-05 18:25:00,4.0
2016-02-05 18:46:00,2016-02-05,18:46:00,2016-02-05 23:32:00,286.0
2016-02-05 23:46:00,2016-02-05,23:46:00,2016-02-06 04:06:00,260.0
2016-02-06 04:37:00,2016-02-06,04:37:00,2016-02-06 07:43:00,186.0
2016-02-06 13:00:00,2016-02-06,13:00:00,2016-02-06 15:10:00,130.0
2016-02-06 19:13:00,2016-02-06,19:13:00,2016-02-06 22:23:00,190.0
2016-02-06 22:52:00,2016-02-06,22:52:00,2016-02-07 03:35:00,283.0
2016-02-07 03:58:00,2016-02-07,03:58:00,2016-02-07 06:20:00,142.0
2016-02-07 10:02:00,2016-02-07,10:02:00,2016-02-07 12:48:00,166.0
2016-02-07 15:48:00,2016-02-07,15:48:00,2016-02-07 16:19:00,31.0
2016-02-07 19:32:00,2016-02-07,19:32:00,2016-02-08 01:04:00,332.0
2016-02-08 01:27:00,2016-02-08,01:27:00,2016-02-08 04:10:00,163.0
2016-02-08 04:26:00,2016-02-08,04:26:00,2016-02-08 06:27:00,121.0
2016-02-08 11:30:00,2016-02-08,11:30:00,2016-02-08 12:00:00,30.0
2016-02-08 15:12:00,2016-02-08,15:12:00,2016-02-08 16:13:00,61.0
2016-02-08 19:28:00,2016-02-08,19:28:00,2016-02-09 02:12:00,404.0
2016-02-09 02:28:00,2016-02-09,02:28:00,2016-02-09 06:39:00,251.0
2016-02-09 11:00:00,2016-02-09,11:00:00,2016-02-09 12:45:00,105.0
2016-02-09 18:30:00,2016-02-09,18:30:00,2016-02-09 21:14:00,164.0
2016-02-09 21:36:00,2016-02-09,21:36:00,2016-02-10 03:45:00,369.0
2016-02-10 03:58:00,2016-02-10,03:58:00,2016-02-10 06:29:00,151.0
2016-02-10 10:05:00,2016-02-10,10:05:00,2016-02-10 11:01:00,56.0
2016-02-10 18:15:00,2016-02-10,18:15:00,2016-02-10 21:05:00,170.0
2016-02-10 21:21:00,2016-02-10,21:21:00,2016-02-11 02:16:00,295.0
2016-02-11 02:38:00,2016-02-11,02:38:00,2016-02-11 02:43:00,5.0
2016-02-11 02:55:00,2016-02-11,02:55:00,2016-02-11 03:19:00,24.0
2016-02-11 03:36:00,2016-02-11,03:36:00,2016-02-11 06:23:00,167.0
2016-02-11 10:05:00,2016-02-11,10:05:00,2016-02-11 12:30:00,145.0
2016-02-11 18:32:00,2016-02-11,18:32:00,2016-02-11 19:33:00,61.0
2016-02-11 19:44:00,2016-02-11,19:44:00,2016-02-12 00:55:00,311.0
2016-02-12 01:15:00,2016-02-12,01:15:00,2016-02-12 04:44:00,209.0
2016-02-12 05:07:00,2016-02-12,05:07:00,2016-02-12 07:14:00,127.0
2016-02-12 10:35:00,2016-02-12,10:35:00,2016-02-12 11:55:00,80.0
2016-02-12 18:16:00,2016-02-12,18:16:00,2016-02-12 23:02:00,286.0
2016-02-12 23:18:00,2016-02-12,23:18:00,2016-02-13 05:42:00,384.0
2016-02-13 10:28:00,2016-02-13,10:28:00,2016-02-13 12:40:00,132.0
2016-02-13 19:07:00,2016-02-13,19:07:00,2016-02-13 23:05:00,238.0
2016-02-13 23:49:00,2016-02-13,23:49:00,2016-02-14 05:17:00,328.0
2016-02-14 05:35:00,2016-02-14,05:35:00,2016-02-14 06:10:00,35.0
2016-02-14 10:20:00,2016-02-14,10:20:00,2016-02-14 11:43:00,83.0
2016-02-14 15:02:00,2016-02-14,15:02:00,2016-02-14 15:33:00,31.0
2016-02-14 18:45:00,2016-02-14,18:45:00,2016-02-14 22:44:00,239.0
2016-02-14 22:56:00,2016-02-14,22:56:00,2016-02-15 00:14:00,78.0
2016-02-15 00:53:00,2016-02-15,00:53:00,2016-02-15 03:27:00,154.0
2016-02-15 03:49:00,2016-02-15,03:49:00,2016-02-15 07:16:00,207.0
2016-02-15 10:43:00,2016-02-15,10:43:00,2016-02-15 13:00:00,137.0
2016-02-15 18:50:00,2016-02-15,18:50:00,2016-02-16 00:19:00,329.0
2016-02-16 00:25:00,2016-02-16,00:25:00,2016-02-16 06:20:00,355.0
2016-02-16 10:55:00,2016-02-16,10:55:00,2016-02-16 11:55:00,60.0
2016-02-16 18:55:00,2016-02-16,18:55:00,2016-02-17 02:52:00,477.0
2016-02-17 02:54:00,2016-02-17,02:54:00,2016-02-17 05:29:00,155.0
2016-02-17 09:38:00,2016-02-17,09:38:00,2016-02-17 11:02:00,84.0
2016-02-17 16:00:00,2016-02-17,16:00:00,2016-02-17 16:30:00,30.0
2016-02-17 18:30:00,2016-02-17,18:30:00,2016-02-18 03:16:00,526.0
2016-02-18 03:45:00,2016-02-18,03:45:00,2016-02-18 07:14:00,209.0
2016-02-18 12:10:00,2016-02-18,12:10:00,2016-02-18 15:10:00,180.0
2016-02-18 19:08:00,2016-02-18,19:08:00,2016-02-19 02:47:00,459.0
2016-02-19 03:08:00,2016-02-19,03:08:00,2016-02-19 03:48:00,40.0
2016-02-19 04:15:00,2016-02-19,04:15:00,2016-02-19 07:14:00,179.0
2016-02-19 18:29:00,2016-02-19,18:29:00,2016-02-20 02:05:00,456.0
2016-02-20 02:42:00,2016-02-20,02:42:00,2016-02-20 06:08:00,206.0
2016-02-20 09:55:00,2016-02-20,09:55:00,2016-02-20 10:39:00,44.0
2016-02-20 18:30:00,2016-02-20,18:30:00,2016-02-20 20:43:00,133.0
2016-02-20 20:55:00,2016-02-20,20:55:00,2016-02-21 03:13:00,378.0
2016-02-21 03:32:00,2016-02-21,03:32:00,2016-02-21 05:44:00,132.0
2016-02-21 10:15:00,2016-02-21,10:15:00,2016-02-21 10:45:00,30.0
2016-02-21 13:03:00,2016-02-21,13:03:00,2016-02-21 13:47:00,44.0
